[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003275s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003522s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002262s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002441s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001915s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002086s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.112400s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.112588s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001841s ]
[ 2015-03-24T10:58:47+08:00 ] /thinkphpTest/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002187s ]
