[ 2015-02-15T17:27:26+08:00 ] /thinkphpTest/home.php/ | ERR: (ThinkException) 无法加载模块home.php
[ 2015-02-15T17:27:53+08:00 ] /thinkphpTest/home.php/ | ERR: (ThinkException) 无法加载模块home.php
[ 2015-02-15T17:27:53+08:00 ] /thinkphpTest/home.php/ | ERR: (ThinkException) 无法加载模块home.php
[ 2015-02-15T17:27:54+08:00 ] /thinkphpTest/home.php/ | ERR: (ThinkException) 无法加载模块home.php
[ 2015-02-15T17:27:54+08:00 ] /thinkphpTest/home.php/ | ERR: (ThinkException) 无法加载模块home.php
[ 2015-02-15T17:27:55+08:00 ] /thinkphpTest/home.php/ | ERR: (ThinkException) 无法加载模块home.php
[ 2015-02-15T17:28:01+08:00 ] /thinkphpTest/home.php/ | ERR: (ThinkException) 无法加载模块home.php
[ 2015-02-15T17:28:13+08:00 ] /thinkphpTest/index.php/ | ERR: (ThinkException) 模板不存在[./Home/Tpl/Index/index.html]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001206s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001305s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001080s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001148s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001191s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001266s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016713s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016885s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.002137s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.002191s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001120s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001153s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007034s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000916s ]
[ 2015-02-15T17:28:51+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000981s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001511s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001896s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001633s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001888s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001327s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001482s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.025074s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025198s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.002016s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.001014s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000734s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000820s ]
[ 2015-02-15T17:29:08+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004804s ]
