[ 2015-02-16T00:02:04+08:00 ] /thinkphpTest/index.php/ | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: NO)
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.003093s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.003330s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002946s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003114s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.247426s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | SQL: SELECT * FROM `think_article`  [ RunTime:0.041119s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003837s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003996s ]
[ 2015-02-16T00:03:23+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.280710s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.280948s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.004221s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.002376s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001668s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002227s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011117s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.005078s ]
[ 2015-02-16T00:03:24+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.005364s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001145s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001371s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000814s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000923s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005314s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | SQL: SELECT * FROM `think_article`  [ RunTime:0.007541s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000875s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000997s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.033603s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033755s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --START--
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000665s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000715s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000334s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000609s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002615s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --START--
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000690s ]
[ 2015-02-16T00:03:25+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000818s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --START--
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.004136s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.004485s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002033s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002194s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.010699s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | SQL: SELECT * FROM `think_article`  [ RunTime:0.008741s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Undefined index:  content IndexAction.class.php 第 7 行.
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --START--
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004668s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.004951s ]
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 49 行.
[ 2015-02-16T00:19:34+08:00 ] /thinkphpTest/index.php/ | NOTIC: [8] Uninitialized string offset:  0 46c7a42f5c70e1f704174f258d5d1804.php 第 50 行.
