[ 2015-02-17T00:27:44+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:27:46+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:27:46+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:27:47+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:27:47+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:28:20+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:28:22+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:28:51+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:28:53+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:29:17+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T00:29:19+08:00 ] /thinkphpTest/Public/Js/admin/sch.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T21:00:02+08:00 ] /thinkphpTest/Public/Js/jquery.masonry.js | ERR: (ThinkException) 无法加载模块Public
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --START--
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000923s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001017s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.053412s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | SQL: SELECT * FROM `think_article`  [ RunTime:0.004813s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --START--
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002927s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.003103s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --START--
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.089691s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.089960s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --START--
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001740s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000909s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000722s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000996s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004570s ]
[ 2015-02-17T21:35:51+08:00 ] /thinkphpTest/index.php | INFO: Tag[ view_end ] --START--
