[ 2015-02-23T21:52:45+08:00 ] /thinkphpTest/ | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2015-02-23T21:53:09+08:00 ] /thinkphpTest/ | ERR: (ThinkException) Can't connect to MySQL server on 'localhost' (10061)
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001150s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001272s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.077442s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.032740s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.030984s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002349s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.004916s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002514s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002667s ]
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-02-23T21:53:20+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
