[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001540s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001637s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000488s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000542s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001781s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001869s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.052583s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.052681s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000398s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000478s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000197s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000375s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001594s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000477s ]
[ 2015-02-27T23:38:44+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000526s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000761s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000849s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000433s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000485s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001322s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001379s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014567s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014652s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000755s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000838s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000603s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000756s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003094s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000925s ]
[ 2015-02-27T23:38:48+08:00 ] /thinkphpTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000973s ]
[ 2015-02-27T23:38:52+08:00 ] /thinkphpTest/index.php/Login/createCode?code=96c9 | INFO: Tag[ route_check ] --START--
[ 2015-02-27T23:38:52+08:00 ] /thinkphpTest/index.php/Login/createCode?code=96c9 | INFO: Run CheckRoute Behavior [ RunTime:0.000790s ]
[ 2015-02-27T23:38:52+08:00 ] /thinkphpTest/index.php/Login/createCode?code=96c9 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000892s ]
[ 2015-02-27T23:38:52+08:00 ] /thinkphpTest/index.php/Login/createCode?code=96c9 | INFO: Tag[ app_begin ] --START--
[ 2015-02-27T23:38:52+08:00 ] /thinkphpTest/index.php/Login/createCode?code=96c9 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000523s ]
[ 2015-02-27T23:38:52+08:00 ] /thinkphpTest/index.php/Login/createCode?code=96c9 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000577s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000957s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001080s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000611s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000683s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.041444s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.009976s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 0,5   [ RunTime:0.056454s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.003724s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | SQL: SELECT * FROM `think_category`  [ RunTime:0.009183s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.003956s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004111s ]
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-02-27T23:39:07+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.079722s ]
