[ 2015-05-23T19:03:42+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --START--
[ 2015-05-23T19:03:42+08:00 ] /thinkphpTest/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.036433s ]
[ 2015-05-23T19:03:42+08:00 ] /thinkphpTest/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.051236s ]
[ 2015-05-23T19:03:42+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  customer_user BaseAction.class.php 第 7 行.
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.087308s ]
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.076823s ]
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 ORDER BY id LIMIT 0,5   [ RunTime:0.033186s ]
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.004716s ]
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | SQL: SELECT * FROM `think_category`  [ RunTime:0.006512s ]
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --START--
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | INFO: Run LocationTemplate Behavior [ RunTime:0.058903s ]
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.058991s ]
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | INFO: Tag[ view_parse ] --START--
[ 2015-05-23T19:03:43+08:00 ] /thinkphpTest/ | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
